Название;Производитель;Категория;Розничная цена;Оптовая цена;Плотность (г/м2);Мартиндейл (циклы);Свойства;Тип ткани;Ссылка на товар
CLARK (Wool mix);Toptextil;A (Premium);14.98;;320;10000;;Рогожка / Универсальная;
CORD;Toptextil;C (Basic);4.15;;320;45000;Антикоготь;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/cord/
DRAGON;Toptextil;C (Basic);5.13;;380;50000;Антикоготь;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/dragon/
DREAM VELVET;Toptextil;C (Basic);4.84;;360;30000;Антикоготь, Легкая чистка;Велюр / Микровелюр;https://www.toptextil.pl/en/collection/dream-velvet/
EUREKA;Toptextil;C (Basic);4.15;;340;45000;Антикоготь, Легкая чистка;Велюр / Микровелюр;https://www.toptextil.pl/en/collection/eureka/
FLORENCJA;Toptextil;B (Business);7.06;;420;102400;Высокая износостойкость;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/florencja/
FREYA;Toptextil;C (Basic);2.76;;260;70000;Антикоготь;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/freya/
GARDEN;Toptextil;C (Basic);4.43;;280;60000;;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/garden/
GRANADA;Toptextil;C (Basic);4.15;;320;25000;;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/granada/
GRETA (Recycled);Toptextil;B (Business);6.65;;315;100000;Переработанный полиэстер, Высокая износостойкость;Рогожка / Универсальная;
HAMILTON;Toptextil;C (Basic);4.84;;300;30000;Антикоготь;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/hamilton/
HORTON;Toptextil;C (Basic);5.13;;350;40000;Антикоготь;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/horton/
HYGGE;Toptextil;C (Basic);3.18;;240;100000;Высокая износостойкость;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/hygge/
JAGUAR;Toptextil;C (Basic);4.15;;310;40000;Антикоготь;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/jaguar/
KENIA;Toptextil;B (Business);7.63;;290;25000;;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/kenia/
KONGO;Toptextil;C (Basic);4.56;;230;18000;Антикоготь, Легкая чистка;Велюр / Микровелюр;https://www.toptextil.pl/en/collection/kongo/
LEA;Toptextil;B (Business);8.18;;300;60000;;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/lea/
LILLY;Toptextil;B (Business);8.59;;330;40000;;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/lilly/
MAGIC DELUXE P300;Toptextil;A (Premium);22.06;;950;16000;Легкая чистка;Велюр / Микровелюр;https://www.toptextil.pl/en/collection/magic-deluxe-p300/
MAGIC DELUXE P301;Toptextil;A (Premium);19.29;;880;20000;Легкая чистка;Велюр / Микровелюр;https://www.toptextil.pl/en/collection/magic-deluxe-p301/
MAGIC VELVET;Toptextil;C (Basic);4.15;;300;60000;Антикоготь, Легкая чистка;Велюр / Микровелюр;https://www.toptextil.pl/en/collection/magic-velvet/
MAGIC VELVET 3D;Toptextil;C (Basic);5.87;;430;60000;Легкая чистка;Велюр / Микровелюр;https://www.toptextil.pl/en/collection/magic-velvet-3d/
MIU;Toptextil;B (Business);6.23;;450;90000;Антикоготь, Высокая износостойкость;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/miu/
PRESTIGE;Toptextil;C (Basic);5.54;;320;35000;Антикоготь;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/prestige/
RALPH;Toptextil;C (Basic);4.15;;330;70000;Антикоготь;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/ralph/
ROYAL;Toptextil;B (Business);10.4;;400;100000;Высокая износостойкость, Легкая чистка;Велюр / Микровелюр;https://www.toptextil.pl/en/collection/royal/
RUCIA;Toptextil;C (Basic);3.45;;250;80000;Высокая износостойкость;Рогожка / Универсальная;
SMART VELVET;Toptextil;C (Basic);2.76;;240;60000;Антикоготь, Легкая чистка;Велюр / Микровелюр;https://www.toptextil.pl/en/collection/smart-velvet/
JARTAN;Toptextil;B (Business);7.34;;300;30000;;Шенилл;
TRACY;Toptextil;B (Business);8.31;;420;100000;;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/tracy/
TUNIS;Toptextil;C (Basic);5.4;;320;50000;Антикоготь;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/tunis/
UTTARIO VELVET;Toptextil;C (Basic);3.45;;260;45000;Антикоготь, Легкая чистка;Велюр / Микровелюр;https://www.toptextil.pl/en/collection/uttario-velvet/
UTTARIO VELVET 3D;Toptextil;C (Basic);4.2;;375;45000;Антикоготь, Легкая чистка;Велюр / Микровелюр;https://www.toptextil.pl/en/collection/uttario-velvet-3d/
VENUS VELVET;Toptextil;B (Business);6.65;;450;90000;Антикоготь, Высокая износостойкость, Легкая чистка;Велюр / Микровелюр;https://www.toptextil.pl/en/collection/venus-velvet/
ZORA;Toptextil;C (Basic);4.15;;380;80000;Высокая износостойкость;Рогожка / Универсальная;https://www.toptextil.pl/en/collection/zora/
BOSCO 2;Davis;Unknown;0.0;;2500;100000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/bosco-2/
VELA 2;Davis;Unknown;0.0;;2285;90000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/vela-2/
GELATO 2;Davis;Unknown;0.0;;2410;100000;;Шенилл;https://www.davis.pl/en/collection/gelato-2/
RAMBO 2;Davis;Unknown;0.0;;2260;40000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/rambo-2/
CAPRIO 2;Davis;Unknown;0.0;;2340;50000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/caprio-2/
VIBE 2;Davis;Unknown;0.0;;2350;30000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/vibe-2/
CORTO 2;Davis;Unknown;0.0;;2360;100000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/corto-2/
MIKA 2;Davis;Unknown;0.0;;2420;100000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/mika-2/
MONTE 2;Davis;Unknown;0.0;;2380;80000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/monte-2/
LUMI 2;Davis;Unknown;0.0;;2340;100000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/lumi-2/
RUNO 2;Davis;Unknown;0.0;;2350;50000;;Рогожка;https://www.davis.pl/en/collection/runo-2/
PICO OUTDOOR;Davis;Unknown;0.0;;2320;40000;Водоотталкивание, Защита от УФ;Трикотаж;https://www.davis.pl/en/collection/pico-outdoor/
SUNLIGHT OUTDOOR;Davis;Unknown;0.0;;2230;40000;Водоотталкивание, Защита от УФ;Уличная ткань;https://www.davis.pl/en/collection/sunlight-outdoor/
MISTERIO 2;Davis;Unknown;0.0;;2410;25000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/misterio-2/
ADVENTURE 2;Davis;Unknown;0.0;;2400;70000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/adventure-2/
LANDSCAPE 2;Davis;Unknown;0.0;;2370;25000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/landscape-2/
SILENCIO 2;Davis;Unknown;0.0;;2580;160000;;Шенилл;https://www.davis.pl/en/collection/silencio-2/
SAND 2;Davis;Unknown;0.0;;2260;70000;;Рогожка / Универсальная;https://www.davis.pl/en/collection/sand-2/
A ROSE IS col. 1 Coord: Salisgrano;Dedar;Премиум;175.0;;639;50000;Высокая износостойкость, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/adamo-eva/
00T2603900;Dedar;Премиум;140.0;;450;260390;Высокая износостойкость, Премиальное качество;Жаккард / Премиум ткань;
ANNODO ARCOBALENI 8 All;Dedar;Премиум;160.0;;655;10000;Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/annodo-arcobaleni/
ABACA 60656;Mariaflora;Премиум;60.6;;750;50000;;Рогожка / Универсальная;https://dedar.com/abaca/
ABETE 60010;Mariaflora;Премиум;91.3;;780;40000;;Рогожка / Универсальная;https://dedar.com/abete/
ACERO 60002;Mariaflora;Премиум;59.5;;500;40000;;Рогожка / Универсальная;https://dedar.com/acero/
ADAMANTINE col. 1 Coord: Gabor;Dedar;Премиум;140.0;;371;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/adamantine/
ATLAS NOVUS 8, 91, 92 All;Dedar;Премиум;275.0;;450;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/atlas-novus/
BOMARZO 64 All;Dedar;Премиум;192.5;;1021;9000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/bomarzo/
